min_cov_pct,max_missing_pct,retained_any_telemetry,retained_nivel
0,100,257,257
1,99,167,166
2,98,166,165
3,97,164,163
4,96,164,163
5,95,164,163
6,94,162,161
7,93,162,161
8,92,162,160
9,91,161,159
10,90,159,156
11,89,159,156
12,88,159,156
13,87,159,156
14,86,159,156
15,85,159,156
16,84,158,155
17,83,158,154
18,82,158,154
19,81,157,153
20,80,157,153
21,79,156,152
22,78,155,151
23,77,153,150
24,76,153,150
25,75,153,150
26,74,152,149
27,73,150,147
28,72,149,146
29,71,148,145
30,70,148,145
31,69,147,144
32,68,147,143
33,67,147,143
34,66,146,142
35,65,146,141
36,64,146,140
37,63,144,139
38,62,143,138
39,61,143,137
40,60,143,137
41,59,142,136
42,58,141,136
43,57,141,136
44,56,140,134
45,55,138,132
46,54,137,131
47,53,136,130
48,52,136,128
49,51,132,127
50,50,130,125
51,49,129,124
52,48,128,122
53,47,126,120
54,46,124,118
55,45,122,115
56,44,120,113
57,43,118,111
58,42,117,110
59,41,116,110
60,40,115,108
61,39,114,107
62,38,113,106
63,37,112,104
64,36,110,101
65,35,110,100
66,34,109,100
67,33,107,99
68,32,105,96
69,31,102,95
70,30,102,95
71,29,100,93
72,28,99,93
73,27,98,92
74,26,98,92
75,25,96,90
76,24,93,87
77,23,91,85
78,22,90,85
79,21,89,84
80,20,88,83
81,19,86,81
82,18,86,81
83,17,85,79
84,16,83,78
85,15,83,78
86,14,82,75
87,13,81,73
88,12,77,68
89,11,74,65
90,10,72,64
91,9,67,61
92,8,58,51
93,7,53,45
94,6,45,37
95,5,37,28
96,4,30,23
97,3,20,14
98,2,9,4
99,1,4,2
100,0,0,0
